Local time,Open,High,Low,Close,Volume
01.08.2020 22:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 22:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:40:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:45:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:50:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
01.08.2020 23:55:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:00:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:05:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:10:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:15:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:20:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:25:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:30:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
02.08.2020 00:35:00.000 GMT+0530,1.17839,1.17839,1.17839,1.17839,0
